pred_train_1,pred_train_2,pred_train_3
31.0828704311726,25.7146989260447,25.0459014085642
35.3229395599476,29.4272838198409,27.5197545280746
45.7079311329911,42.8072473895175,34.8666086203407
53.5375445100986,48.3834756606394,39.7259429176895
47.0105675419387,40.8650199036663,39.2835576987623
49.6509621665708,43.13150506581,40.8971313303552
52.5610974577569,45.4929182072961,42.7432826717502
54.5152158606775,47.1811904353041,43.857599880854
58.263805171926,51.8032439289425,43.6168649951057
58.8507554653416,52.5096337112314,43.7130541368699
60.4961103684797,54.004293108977,45.4159173902563
62.2818031000302,56.0824448595943,47.3643191250869
45.7961763788129,34.9732433117264,47.1189447768386
45.3454421116604,31.4342722121737,52.1097360441756
46.858056899007,28.506212123276,55.0469791522024
51.8953800403778,26.541245307579,56.0382897034624
60.6315056313422,26.4753461247178,57.534970754952
69.8182944647058,26.8272991782051,57.101528054706
77.8994202927641,28.1197758352704,56.638071076201
83.9109377540106,30.7305339165538,57.8608522895671
53.2499646267907,45.7936929145235,43.6775578462354
57.7135478340195,48.8324664933252,49.0029163211328
59.2515555940568,50.1933203188985,50.8753599106572
59.7804304905387,50.4227050690111,52.4132612315786
61.0734843347938,51.6146678739835,54.8331087343676
62.4821387584584,53.3181830900219,57.3234367889916
62.3026239392999,52.988143454108,57.2917730214205
62.6848488521736,53.4131803120427,58.3114928371104
62.8837427261827,53.4981766632876,59.3393868267762
63.6944100598493,54.6819750411822,61.2229713044251
63.7063413661135,54.4767573511292,61.9157978981876
63.6251977879694,54.2932061994897,61.8925933282612
65.4268424930686,65.5779901287465,67.7676390897276
65.3773026568426,64.0130580635851,63.2662651067155
65.3484756129387,63.8617596582822,62.6674811138502
65.3918875306537,64.1000297030085,63.5782600507863
65.3572489642953,64.507433392991,64.6104463727877
65.2927734456366,64.5241382865356,64.5000533341393
65.2626688939434,64.7096165493525,65.0700754932237
65.2112581009056,64.7601970239611,65.2317684894828
65.1210830955058,64.8877794432083,65.8382805511902
65.1070143640194,64.9278337264,66.0400344596807
65.0789440630532,65.017733764184,66.5141098635368
65.0562370982288,65.1836111431665,67.3634898092498
65.0950395822962,65.3256719743208,67.7621620518609
65.0473932614828,65.3216065208063,68.0907489661416
64.9997232986843,65.3641806234602,68.831539604124
64.9958659052997,65.3753179704856,68.9610204193173
64.9702433133178,65.3730779223966,69.3454443694659
64.9799818705232,65.4242975645453,69.5808405120129
64.9725918367361,65.4845877340058,70.3085243160872
64.9175646662044,65.3594895205993,70.4946903928738
64.9308322031778,65.4352611904046,71.0729570996215
